🧾 ATTACK STORY (AUTO-GENERATED)
==================================================

🚨 VERDICT: Active C2 beaconing and persistence established
Confidence: HIGH
Affected Hosts: 192.168.122.52, 192.168.122.132, 192.168.122.130


🎯 PATIENT ZERO: 192.168.122.52 (Jennifer-PC)
--------------------------------------------------
[STAGE 1] Initial Access
Host 192.168.122.52 likely compromised via attack.
Indicators:
- YARA Cluster [Ransomware/Destructive/Suspicious/Generic/C2/Backdoor/Web Attack/Exploit] (100 pts on 356f9113)
- YARA Cluster [Web Attack/Exploit] (70 pts on ef89538c)
- YARA Cluster [C2/Backdoor/Web Attack/Exploit] (90 pts on bcb79b5e)

        ↓

[STAGE 2] Payload Execution
Malicious payload executed on host.
Hash: b09d23ba...
Indicators:
- YARA Cluster [Ransomware/Destructive/Suspicious/Generic/Fileless/Injection/C2/Backdoor] (100 pts on aec3d419)
- YARA Cluster [C2/Backdoor] (90 pts on f9188bfb)
- VT (5 engines) on 192.185.21.183

        ↓

[STAGE 5] Beaconing / Persistence
Repeated outbound connections observed:
192.168.122.52 → 54.66.231.10:80 (Beaconing Score: 90)
192.168.122.52 → 103.2.116.79:80 (Beaconing Score: 130)
192.168.122.52 → 23.0.202.138:80 (Beaconing Score: 110)

🎯 PATIENT ZERO: 192.168.122.132 (Hokaydoo-PC)
--------------------------------------------------
[STAGE 1] Initial Access
Host 192.168.122.132 likely compromised via attack.
Indicators:
- YARA Cluster [C2/Backdoor/Web Attack/Exploit] (90 pts on ee48daa8)
- YARA Cluster [C2/Backdoor/Web Attack/Exploit] (90 pts on e05ddeda)

        ↓

[STAGE 2] Payload Execution
Malicious payload executed on host.
Hash: b399e063...
Indicators:
- OTX (High Pulse) on 104.244.43.167
- YARA Cluster [Fileless/Injection/Obfuscation/Evasion/C2/Backdoor/Downloader/Dropper] (90 pts on 66713acd)
- YARA Cluster [Ransomware/Destructive/C2/Backdoor] (100 pts on b399e063)

        ↓

[STAGE 5] Beaconing / Persistence
Repeated outbound connections observed:
192.168.122.132 → 95.128.181.144:80 (Beaconing Score: 130)
192.168.122.132 → 8.8.4.4:53 (Beaconing Score: 110)
192.168.122.132 → 92.51.131.150:80 (Beaconing Score: 110)

🎯 PATIENT ZERO: 192.168.122.130 (FULL-METAL-JACK)
--------------------------------------------------
[STAGE 2] Payload Execution
Malicious payload executed on host.
Hash: 306ab541...
Indicators:
- YARA Cluster [Fileless/Injection] (80 pts on d57f24e4)
- VT Malicious File (95a9c8fc)
- YARA Cluster [Suspicious/Generic] (20 pts on 306ab541)

        ↓

[STAGE 5] Beaconing / Persistence
Repeated outbound connections observed:
192.168.122.130 → 184.168.173.1:80 (Beaconing Score: 90)

============================================================
 🕒 GLOBAL ATTACK TIMELINE
============================================================
T+1452204392.30s | Suspicious Network Activity    | 192.168.122.132:60126 -> 8.8.4.4:53 (Score: 50)
T+1452204394.82s | Suspicious Network Activity    | 192.168.122.130:49158 -> 204.79.197.200:443 (Score: 50)
T+1452204394.82s | Suspicious Network Activity    | 192.168.122.130:49159 -> 204.79.197.200:443 (Score: 50)
T+1452204394.82s | Suspicious Network Activity    | 192.168.122.130:49160 -> 204.79.197.200:443 (Score: 50)
T+1452204394.82s | Suspicious Network Activity    | 192.168.122.130:49161 -> 204.79.197.200:443 (Score: 50)
T+1452204394.82s | Suspicious Network Activity    | 192.168.122.130:49162 -> 204.79.197.200:443 (Score: 50)
T+1452204404.33s | Suspicious Network Activity    | 192.168.122.130:49165 -> 204.79.197.200:443 (Score: 50)
T+1452204405.28s | Suspicious Network Activity    | 192.168.122.130:49166 -> 204.79.197.200:443 (Score: 50)
T+1452204405.28s | Suspicious Network Activity    | 192.168.122.130:49167 -> 204.79.197.200:443 (Score: 50)
T+1452204417.37s | Suspicious Network Activity    | 192.168.122.132:63860 -> 8.8.4.4:53 (Score: 50)
T+1452204418.20s | Suspicious Network Activity    | 192.168.122.130:49168 -> 204.79.197.200:443 (Score: 50)
T+1452204418.75s | Suspicious Network Activity    | 192.168.122.130:49169 -> 204.79.197.200:443 (Score: 50)
T+1452204418.75s | Suspicious Network Activity    | 192.168.122.130:49170 -> 204.79.197.200:443 (Score: 50)
T+1452204419.11s | Lateral Movement / Injection   | 192.168.122.130:49177 -> 202.43.194.205:80 (Score: 80)
T+1452204529.23s | Ransomware Activity            | 192.168.122.52:49170 -> 119.160.243.163:80 (Score: 100)
T+1452204532.08s | Ransomware Activity            | 192.168.122.52:49172 -> 119.160.254.197:80 (Score: 280)
T+1452204532.08s | C2 Communication               | 192.168.122.52:49173 -> 119.160.254.197:80 (Score: 270)
T+1452204532.08s | Ransomware Activity            | 192.168.122.52:49174 -> 119.160.254.197:80 (Score: 290)
T+1452204536.23s | Ransomware Activity            | 192.168.122.52:49178 -> 103.2.116.83:80 (Score: 100)
T+1452204541.06s | C2 Communication               | 192.168.122.52:49180 -> 119.160.254.197:80 (Score: 180)
T+1452204541.06s | Ransomware Activity            | 192.168.122.52:49181 -> 119.160.254.197:80 (Score: 280)
T+1452204541.07s | Ransomware Activity            | 192.168.122.52:49182 -> 119.160.254.197:80 (Score: 190)
T+1452204543.77s | C2 Communication               | 192.168.122.52:49183 -> 119.160.243.163:80 (Score: 90)
T+1452204548.75s | C2 Communication               | 192.168.122.52:49188 -> 67.225.139.108:80 (Score: 90)
T+1452204548.77s | C2 Communication               | 192.168.122.52:49189 -> 67.225.139.108:80 (Score: 90)
T+1452204553.69s | Ransomware Activity            | 192.168.122.52:49192 -> 216.58.220.106:80 (Score: 190)
T+1452204553.69s | C2 Communication               | 192.168.122.52:49193 -> 216.58.220.106:80 (Score: 90)
